INDEX | LABEL | MIRROR
50 | -50 | -50
51 | -50 | -50
52 | -50 | -50
53 | -50 | -50
54 | -50 | -50
55 | -40 | -40
56 | -40 | -40
57 | -40 | -40
58 | -40 | -40
59 | -40 | -40
60 | -40 | -40
61 | -40 | -40
62 | -40 | -40
63 | -40 | -40
64 | -40 | -40
65 | -40 | -40
66 | -30 | -30
67 | -30 | -30
68 | -30 | -30
69 | -30 | -30
70 | -30 | -30
71 | -30 | -30
72 | -30 | -30
73 | -30 | -30
74 | -30 | -30
75 | -20 | -20
76 | -20 | -20
77 | -20 | -20
78 | -20 | -20
79 | -20 | -20
80 | -20 | -20
81 | -20 | -20
82 | -20 | -20
83 | -20 | -20
84 | -20 | -20
85 | -20 | -20
86 | -10 | -10
87 | -10 | -10
88 | -10 | -10
89 | -10 | -10
90 | -10 | -10
91 | -10 | -10
92 | -10 | -10
93 | -10 | -10
94 | -10 | -10
95 | -100 | -100
96 | -100 | -100
97 | -100 | -100
98 | -100 | -100
99 | -100 | -100
100 | -100 | -100
101 | -100 | -100
102 | -100 | -100
103 | -100 | -100
104 | -100 | -100
105 | -100 | -100
106 | 1+90 | 1-90
107 | 1+90 | 1-90
108 | 1+90 | 1-90
109 | 1+90 | 1-90
110 | 1+90 | 1-90
111 | 1+90 | 1-90
112 | 1+90 | 1-90
113 | 1+90 | 1-90
114 | 1+90 | 1-90
115 | 1+80 | 1-80
116 | 1+80 | 1-80
117 | 1+80 | 1-80
118 | 1+80 | 1-80
119 | 1+80 | 1-80
120 | 1+80 | 1-80
121 | 1+80 | 1-80
122 | 1+80 | 1-80
123 | 1+80 | 1-80
124 | 1+80 | 1-80
125 | 1+80 | 1-80
126 | 1+70 | 1-70
127 | 1+70 | 1-70
128 | 1+70 | 1-70
129 | 1+70 | 1-70
130 | 1+70 | 1-70
131 | 1+70 | 1-70
132 | 1+70 | 1-70
133 | 1+70 | 1-70
134 | 1+70 | 1-70
135 | 1+60 | 1-60
136 | 1+60 | 1-60
137 | 1+60 | 1-60
138 | 1+60 | 1-60
139 | 1+60 | 1-60
140 | 1+60 | 1-60
141 | 1+60 | 1-60
142 | 1+60 | 1-60
143 | 1+60 | 1-60
144 | 1+60 | 1-60
145 | 1+60 | 1-60
146 | 1+50 | 1-50
147 | 1+50 | 1-50
148 | 1+50 | 1-50
149 | 1+50 | 1-50
150 | 1+50 | 1-50
151 | 1+50 | 1-50
152 | 1+50 | 1-50
153 | 1+50 | 1-50
154 | 1+50 | 1-50
155 | 1+40 | 1-40
156 | 1+40 | 1-40
157 | 1+40 | 1-40
158 | 1+40 | 1-40
159 | 1+40 | 1-40
160 | 1+40 | 1-40
161 | 1+40 | 1-40
162 | 1+40 | 1-40
163 | 1+40 | 1-40
164 | 1+40 | 1-40
165 | 1+40 | 1-40
166 | 1+30 | 1-30
167 | 1+30 | 1-30
168 | 1+30 | 1-30
169 | 1+30 | 1-30
170 | 1+30 | 1-30
171 | 1+30 | 1-30
172 | 1+30 | 1-30
173 | 1+30 | 1-30
174 | 1+30 | 1-30
175 | 1+20 | 1-20
176 | 1+20 | 1-20
177 | 1+20 | 1-20
178 | 1+20 | 1-20
179 | 1+20 | 1-20
180 | 1+20 | 1-20
181 | 1+20 | 1-20
182 | 1+20 | 1-20
183 | 1+20 | 1-20
184 | 1+20 | 1-20
185 | 1+20 | 1-20
186 | 1+10 | 1-10
187 | 1+10 | 1-10
188 | 1+10 | 1-10
189 | 1+10 | 1-10
190 | 1+10 | 1-10
191 | 1+10 | 1-10
192 | 1+10 | 1-10
193 | 1+10 | 1-10
194 | 1+10 | 1-10
195 | 1= | 1=
196 | 1= | 1=
197 | 1= | 1=
198 | 1= | 1=
199 | 1= | 1=
200 | 1= | 1=
201 | 1= | 1=
202 | 1= | 1=
203 | 1= | 1=
204 | 1= | 1=
205 | 1= | 1=
206 | 1-10 | 1+10
207 | 1-10 | 1+10
208 | 1-10 | 1+10
209 | 1-10 | 1+10
210 | 1-10 | 1+10
211 | 1-10 | 1+10
212 | 1-10 | 1+10
213 | 1-10 | 1+10
214 | 1-10 | 1+10
215 | 1-20 | 1+20
216 | 1-20 | 1+20
217 | 1-20 | 1+20
218 | 1-20 | 1+20
219 | 1-20 | 1+20
220 | 1-20 | 1+20
221 | 1-20 | 1+20
222 | 1-20 | 1+20
223 | 1-20 | 1+20
224 | 1-20 | 1+20
225 | 1-20 | 1+20
226 | 1-30 | 1+30
227 | 1-30 | 1+30
228 | 1-30 | 1+30
229 | 1-30 | 1+30
230 | 1-30 | 1+30
231 | 1-30 | 1+30
232 | 1-30 | 1+30
233 | 1-30 | 1+30
234 | 1-30 | 1+30
235 | 1-40 | 1+40
236 | 1-40 | 1+40
237 | 1-40 | 1+40
238 | 1-40 | 1+40
239 | 1-40 | 1+40
240 | 1-40 | 1+40
241 | 1-40 | 1+40
242 | 1-40 | 1+40
243 | 1-40 | 1+40
244 | 1-40 | 1+40
245 | 1-40 | 1+40
246 | 1-50 | 1+50
247 | 1-50 | 1+50
248 | 1-50 | 1+50
249 | 1-50 | 1+50
250 | 1-50 | 1+50
251 | 1-50 | 1+50
252 | 1-50 | 1+50
253 | 1-50 | 1+50
254 | 1-50 | 1+50
255 | 1-60 | 1+60
256 | 1-60 | 1+60
257 | 1-60 | 1+60
258 | 1-60 | 1+60
259 | 1-60 | 1+60
260 | 1-60 | 1+60
261 | 1-60 | 1+60
262 | 1-60 | 1+60
263 | 1-60 | 1+60
264 | 1-60 | 1+60
265 | 1-60 | 1+60
266 | 1-70 | 1+70
267 | 1-70 | 1+70
268 | 1-70 | 1+70
269 | 1-70 | 1+70
270 | 1-70 | 1+70
271 | 1-70 | 1+70
272 | 1-70 | 1+70
273 | 1-70 | 1+70
274 | 1-70 | 1+70
275 | 1-80 | 1+80
276 | 1-80 | 1+80
277 | 1-80 | 1+80
278 | 1-80 | 1+80
279 | 1-80 | 1+80
280 | 1-80 | 1+80
281 | 1-80 | 1+80
282 | 1-80 | 1+80
283 | 1-80 | 1+80
284 | 1-80 | 1+80
285 | 1-80 | 1+80
286 | 1-90 | 1+90
287 | 1-90 | 1+90
288 | 1-90 | 1+90
289 | 1-90 | 1+90
290 | 1-90 | 1+90
291 | 1-90 | 1+90
292 | 1-90 | 1+90
293 | 1-90 | 1+90
294 | 1-90 | 1+90
295 | 1-100 | 1+100
296 | 1-100 | 1+100
297 | 1-100 | 1+100
298 | 1-100 | 1+100
299 | 1-100 | 1+100
300 | 1-100 | 1+100
301 | 1-100 | 1+100
302 | 1-100 | 1+100
303 | 1-100 | 1+100
304 | 1-100 | 1+100
305 | 1-100 | 1+100
306 | 2+90 | 2-90
307 | 2+90 | 2-90
308 | 2+90 | 2-90
309 | 2+90 | 2-90
310 | 2+90 | 2-90
311 | 2+90 | 2-90
312 | 2+90 | 2-90
313 | 2+90 | 2-90
314 | 2+90 | 2-90
315 | 2+80 | 2-80
316 | 2+80 | 2-80
317 | 2+80 | 2-80
318 | 2+80 | 2-80
319 | 2+80 | 2-80
320 | 2+80 | 2-80
321 | 2+80 | 2-80
322 | 2+80 | 2-80
323 | 2+80 | 2-80
324 | 2+80 | 2-80
325 | 2+80 | 2-80
326 | 2+70 | 2-70
327 | 2+70 | 2-70
328 | 2+70 | 2-70
329 | 2+70 | 2-70
330 | 2+70 | 2-70
331 | 2+70 | 2-70
332 | 2+70 | 2-70
333 | 2+70 | 2-70
334 | 2+70 | 2-70
335 | 2+60 | 2-60
336 | 2+60 | 2-60
337 | 2+60 | 2-60
